【令和８年５月１日時点】入所児童数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
鶴見区,14101,鶴見ぬくもり保育園,1410052005493,0,4,6,-,-,-,10,2026-05-01,
鶴見区,14101,きらぼし保育園,1410052005121,1,3,5,-,-,-,9,2026-05-01,
鶴見区,14101,おれんじハウス鶴見保育園,1410052005162,2,6,6,-,-,-,14,2026-05-01,
鶴見区,14101,しおつるばしハート保育園,1410052004637,3,6,8,-,-,-,17,2026-05-01,
鶴見区,14101,ひだまりの保育園,1410052005196,1,5,8,-,-,-,14,2026-05-01,
鶴見区,14101,鶴見サンフラワー保育園,1410052005501,1,5,5,-,-,-,11,2026-05-01,
鶴見区,14101,鶴見なのはな保育園,1410052005451,1,5,6,-,-,-,12,2026-05-01,
神奈川区,14102,横浜市西菅田保育園,1410051018802,-,9,12,12,13,12,58,2026-05-01,
神奈川区,14102,保育園こりす,1410051014678,9,16,16,16,16,16,89,2026-05-01,
神奈川区,14102,あおぞら菅田保育園,1410051025260,-,11,13,15,13,13,65,2026-05-01,
神奈川区,14102,羽沢保育園,1410051013886,6,20,25,26,29,28,134,2026-05-01,
神奈川区,14102,ミアヘルサ保育園ひびき羽沢横浜国大,1410051028140,-,12,12,15,15,7,61,2026-05-01,
神奈川区,14102,アイン三枚町保育園,1410051019511,6,12,15,15,14,15,77,2026-05-01,
神奈川区,14102,コビープリスクールかたくら,1410051025484,3,9,10,10,13,13,58,2026-05-01,
神奈川区,14102,Gakkenほいくえん片倉,1410051019503,6,8,10,11,11,10,56,2026-05-01,
神奈川区,14102,空と杜の保育園かんだいじ,1410051027464,3,8,9,10,10,13,53,2026-05-01,
神奈川区,14102,ポピンズナーサリースクール片倉町,1410051019222,8,10,10,10,11,11,60,2026-05-01,
神奈川区,14102,横浜市神大寺保育園,1410051018794,-,7,8,12,12,13,52,2026-05-01,
神奈川区,14102,ポピンズナーサリースクール片倉町駅前,1410051026722,-,8,9,11,11,11,50,2026-05-01,
神奈川区,14102,スターチャイルド≪片倉町ナーサリー≫,1410051027936,-,10,10,11,13,12,56,2026-05-01,
神奈川区,14102,こころキッズ,1410051026607,-,9,9,15,11,15,59,2026-05-01,
神奈川区,14102,スターチャイルド≪三ッ沢上町ナーサリー≫,1410051024958,6,8,10,13,13,13,63,2026-05-01,
神奈川区,14102,三ツ沢保育園,1410051025195,-,4,7,6,6,8,31,2026-05-01,
神奈川区,14102,フレール保育園,1410051024156,2,8,8,9,10,10,47,2026-05-01,
神奈川区,14102,いずみ松本町保育園,1410051023745,9,26,29,30,29,30,153,2026-05-01,
神奈川区,14102,アイン松本町保育園,1410051017952,5,11,12,11,13,13,65,2026-05-01,
神奈川区,14102,いずみ反町保育園,1410051013654,4,12,11,12,9,12,60,2026-05-01,
神奈川区,14102,クルミ保育園,1410051028272,6,9,7,10,10,2,44,2026-05-01,
神奈川区,14102,アイン高島台保育園,1410051018026,6,8,10,11,12,12,59,2026-05-01,
神奈川区,14102,Gakkenほいくえん反町,1410051024768,3,6,9,8,8,11,45,2026-05-01,
神奈川区,14102,いずみ反町公園保育園,1410051024438,-,4,4,8,10,8,34,2026-05-01,
神奈川区,14102,小鳩保育園,1410051016293,5,8,7,4,7,7,38,2026-05-01,
神奈川区,14102,小鳩保育園分園,1410051016285,1,7,11,6,9,8,42,2026-05-01,
神奈川区,14102,エンゼル保育園,1410051018570,-,8,8,7,7,7,37,2026-05-01,
神奈川区,14102,かながわ保育園,1410051027035,12,18,18,18,15,15,96,2026-05-01,
